alpha,beta,ari,precision,recall,f1
0.0001,0.0001,1.0,1.0,0.5,0.6666666666666666
0.0001,0.001,1.0,1.0,0.5,0.6666666666666666
0.0001,0.01,1.0,1.0,0.5,0.6666666666666666
0.0001,0.1,1.0,1.0,0.5,0.6666666666666666
0.001,0.0001,0.9317038102084831,1.0,0.5,0.6666666666666666
0.001,0.001,0.9317038102084831,1.0,0.5,0.6666666666666666
0.001,0.01,0.9317038102084831,1.0,0.5,0.6666666666666666
0.001,0.1,0.9317038102084831,1.0,0.5,0.6666666666666666
0.01,0.0001,0.9317038102084831,1.0,0.5,0.6666666666666666
0.01,0.001,0.9317038102084831,1.0,0.5,0.6666666666666666
0.01,0.01,0.9317038102084831,1.0,0.5,0.6666666666666666
0.01,0.1,0.9317038102084831,1.0,0.5,0.6666666666666666
0.1,0.0001,0.5263929618768328,1.0,0.5,0.6666666666666666
0.1,0.001,0.5263929618768328,1.0,0.5,0.6666666666666666
0.1,0.01,0.5263929618768328,1.0,0.5,0.6666666666666666
0.1,0.1,0.5263929618768328,1.0,0.5,0.6666666666666666
