alpha_ci,alpha_inv,precision,recall,f1
0.0001,0.0001,0.4883720930232558,0.5384615384615384,0.5121951219512196
0.0001,0.001,0.6,0.6153846153846154,0.6075949367088608
0.0001,0.01,0.5227272727272727,0.5897435897435898,0.5542168674698795
0.0001,0.1,0.5348837209302325,0.5897435897435898,0.5609756097560975
0.001,0.0001,0.4375,0.5384615384615384,0.4827586206896552
0.001,0.001,0.4888888888888889,0.5641025641025641,0.5238095238095238
0.001,0.01,0.4782608695652174,0.5641025641025641,0.5176470588235293
0.001,0.1,0.4888888888888889,0.5641025641025641,0.5238095238095238
0.01,0.0001,0.4,0.5641025641025641,0.46808510638297873
0.01,0.001,0.39285714285714285,0.5641025641025641,0.4631578947368421
0.01,0.01,0.38181818181818183,0.5384615384615384,0.44680851063829785
0.01,0.1,0.2909090909090909,0.41025641025641024,0.3404255319148936
0.1,0.0001,0.2727272727272727,0.5384615384615384,0.3620689655172414
0.1,0.001,0.16883116883116883,0.3333333333333333,0.22413793103448276
0.1,0.01,0.21794871794871795,0.4358974358974359,0.2905982905982906
0.1,0.1,0.2727272727272727,0.5384615384615384,0.3620689655172414
